ID,status,time,J,W,speed
10121,1,4/1/2018 7:35:38,121.816878,31.11821,0.0
10121,1,4/1/2018 7:35:48,121.816878,31.11821,0.0
10121,1,4/1/2018 7:35:58,121.816878,31.11821,0.0
10121,1,4/1/2018 7:36:08,121.816878,31.11821,0.0
10121,1,4/1/2018 7:36:18,121.816878,31.11821,0.0
10121,1,4/1/2018 7:36:38,121.816878,31.11821,0.0
10121,1,4/1/2018 7:36:48,121.816878,31.11821,0.0
10121,1,4/1/2018 7:36:58,121.816878,31.11821,0.0
10121,1,4/1/2018 7:37:08,121.816878,31.11821,0.0
10121,1,4/1/2018 7:37:18,121.816878,31.11821,0.0
10121,1,4/1/2018 7:37:38,121.816878,31.11821,0.0
10121,1,4/1/2018 7:37:48,121.816878,31.11821,0.0
10121,1,4/1/2018 7:37:58,121.816878,31.11821,0.0
10121,1,4/1/2018 7:38:08,121.816878,31.11821,0.0
10121,1,4/1/2018 7:38:18,121.816878,31.11821,0.0
10121,1,4/1/2018 7:38:38,121.816878,31.11821,0.0
10121,1,4/1/2018 7:38:47,121.816878,31.11821,0.0
10121,1,4/1/2018 7:38:58,121.816878,31.11821,0.0
10121,1,4/1/2018 7:39:08,121.816878,31.11821,0.0
10121,1,4/1/2018 7:39:18,121.816878,31.11821,0.0
10121,1,4/1/2018 7:39:38,121.816878,31.11821,0.0
10121,1,4/1/2018 7:39:48,121.816878,31.11821,0.0
10121,1,4/1/2018 7:39:58,121.816878,31.11821,0.0
10121,1,4/1/2018 7:40:08,121.816878,31.11821,0.0
10121,1,4/1/2018 7:40:18,121.816878,31.11821,0.0
10121,1,4/1/2018 7:40:38,121.816878,31.11821,0.0
10121,1,4/1/2018 7:40:48,121.816878,31.11821,0.0
10121,1,4/1/2018 7:40:58,121.816878,31.11821,0.0
10121,1,4/1/2018 7:41:08,121.816878,31.11821,0.0
10121,1,4/1/2018 7:41:18,121.816878,31.11821,0.0
10121,1,4/1/2018 7:41:38,121.816878,31.11821,0.0
10121,1,4/1/2018 7:41:48,121.816878,31.11821,0.0
10121,1,4/1/2018 7:41:58,121.816878,31.11821,0.0
10121,1,4/1/2018 7:42:08,121.816878,31.11821,0.0
10121,1,4/1/2018 7:42:18,121.816878,31.11821,0.0
10121,1,4/1/2018 7:42:38,121.816878,31.11821,0.0
10121,1,4/1/2018 7:42:48,121.816878,31.11821,0.0
